,,Spaceshield Hack 2026,,,,,,,
,,,,Dostępność,,,,,Poznaj swojego mentora (BIO)
,,Mentor,Specjalizacja,Sobota,,,Niedziela,Online,
,,Godzina dostępności,,11:30-17:30,17:30-23:30,23:30-5:30,5:30-11:30,,
,1,Aleksander Arabadźić,"Kompetencje Cyfrowe, Bezpieczeństwo, Cyberbezpieczeństwo, B&S, Edukacja",,x,,,,"Policy Advisor w sektorze Deeptech. Ekspert w zakresie relacji biznesu z nauką i kompetencji przyszłości. Inicjator programu Smart Youth oraz wydawca raportu ""GenZ na rynku pracy"" (2024), w którym dostarcza firmom praktycznych narzędzi do budowania zespołów międzypokoleniowych. Specjalizuje się w projektowaniu procesów adaptacji cyfrowej - od strategicznego doradztwa w obszarze bezpieczeństwa, po aktywizację osób wykluczonych cyfrowo."
,2,Paweł Wojciechowski,"Testowanie oprogramowania, przygotowanie dokumentacji, testowanie aplikacji mobilnych, testy aplikacji webowych",,x,x,,,"Tester since 2021. I focus on self-development every day and learn new skills and explore the secrets of software testing with the latest technologies and methods. My current projects are in the field of medicine, railway, oil industry, including pro bono initiatives. My main areas of focus are: Web and Mobile testing. I love watching apps evolve over time."
,3,Marcin Osial,"Transfer learning, knowledge composition, computer vision, information retrieval, mutimodal learning",x,,,,,"Doktorant na Wydziale Matematyki i Informatyki Uniwersytetu Jagiellońskiego. Jego działalność naukowa koncentruje się na metodach integracji wiedzy w sieciach neuronowych, ze szczególnym uwzględnieniem fuzji modeli (model merging) oraz transferu wiedzy. Jest autorem publikacji naukowych oraz prelegentem na konferencjach o zasięgu międzynarodowym. Ponadto aktywnie rozwija innowacyjne rozwiązania z zakresu wizji komputerowej dedykowane domenie biologii."
,4,Jakub Szymkowiak,"Stats and data analysis, computer vision, 3D vision and spatial computing, neural rendering",x,,,,x,"Jakub Szymkowiak is a PhD student in computer science at Adam Mickiewicz University in Poznań. He studied mathematics at the University of Warsaw, then completed master’s degrees in mathematics and data science at AMU before moving into research in computer vision, graphics, and machine learning."
,5,Mirek Maruszewski,"Technical Leadership, Fullstack, Software Engineering, AI Engineering",x,x,,,,"Technical Lead and Fullstack with 20+ years of experience in the digital and technology industry. I’m currently part of an AI Research team, where I focus on identifying practical applications of artificial intelligence for business. I have worked on enterprise platforms, web applications, AI solutions, and digital campaigns for brands and organizations such as FIFA, PepsiCo Canada, Nissan, Scotiabank, MasterCard"
,6,Paweł Lada,"AI, Cyberdefence, GDPR",x,x,,x,,"Od ponad dekady działam w obszarze ochrony danych osobowych i cyberbezpieczeństwa. Pełniłem funkcję Administratora Systemów Informatycznych, następnie Administratora Bezpieczeństwa Informacji. Od 2018 roku jestem Inspektorem Ochrony Danych. Od 2022 działam w sprawie współpracy człowieka z AI generatywną, trenuję modele. Byłem mentorem na Hackathonach o różnej tematyce w tym Cyber, HackathonAI, czy NASA SpaceApps. Jestem współautorem bestsellera o ochronie danych osobowych w sektorze publicznym"
,7,Imad Ali Shah,"Computer Vision, Image Processing, Hyperspectral Imaging, Multimodl Sensing",x,,,,x,"I am affiliated with Cannaught Automotive Research Group, focusing on Hyperspectral and multimodal sensing, focusing on efficient acquisition of information beyond the human visible spectrum"
,8,Maciej Kuczyński,"Informatyka, sztuczna inteligencja, telekomunikacja, satelity, zarządzanie i biznes",x,x,x,,,"Software Developer at Tradeweb. PhD Student in Computer Science at the Czestochowa University of Technology. MSc Student of IT Management at the Stockholm University. Vice-President of the Student Council of the Polish Space Agency. Member of the PSPA society. Former President of the PCz Rover Team. Working on AI algorithms in telecommunication, mobile technologies and satellite connectivity. A big fan of planes, foreign languages (speaks four), cats and tea."
,9,Leszek Klich,"AI, ML, bazy danych, cyberbezpieczeństwo",x,x,,x,,"Naukowiec, praktyk i pasjonat technologii z ponad 20-letnim stażem w przemyśle. Specjalizuje się w wykorzystaniu języka Python do budowy modeli Machine Learning w wymagających zastosowaniach przemysłowych, łączy wiedzę ekspercką z praktycznym projektowaniem skalowalnych systemów bazodanowych oraz integracji systemów informatycznych z liniami produkcyjnymi oraz zastosowaniem sensorów i mikrokontrolerów w przemyśle."
